2a13:2d40::/32,DE,DE-BE,Berlin,10179
2a13:2d41::/32,FR,FR-IDF,Paris,75001
2a13:2d42::/32,NL,NL-NH,Amsterdam,1012
2a13:2d43::/32,CH,CH-ZH,Zurich, 8001
2a13:2d44::/32,SE,SE-AB,Stockholm,111 22
2a13:2d45::/32,BE,BE-BRU,Brussels,1120
2a13:2d46::/32,AT,AT-9,Vienna, 1010
2a13:2d47::/32,ES,ES-MD,Madrid,28001
2a13:d700::/29,GB,GB-LND,London,E1 7DG
2a13:d901::/32,SI,SI-061,Ljubljana,1000,
2a13:d902::/32,BA,BA-09,Sarajevo,,
2a13:d903::/32,BG,BG-23,Sofia,,
2a13:d904::/32,HR,HR-21,Zagreb,,
2a13:d905::/32,CY,CY-01,Nicosia,,
2a13:d906::/32,CZ,CZ-PR,Prague,106 00,
2a13:d907::/32,DK,DK-84,Copenhagen,2750,
2a13:2dc0::/32,EE,EE-37,Tallinn,
2a13:2dc1::/32,FI,FI-18,Helsinki,
2a13:2dc2::/32,LV,LV-RIX,Riga,
2a13:2dc3::/32,GR,GR-I,Athens,
2a13:2dc4::/32,VA,,Vatican,
2a13:2dc5::/32,HU,HU-BU,Budapest,
2a13:2dc6::/32,IE,IE-L,Dublin,
2a13:2dc7::/32,IL,IL-JM,Jerusalem,
